Date,Product,Category,Store,Units Sold,Unit Price,Revenue
2025-12-11,Gold Bangle,Bracelets,Downtown,1,720,720
2025-12-02,Gold Bangle,Bracelets,Mall Plaza,1,720,720
2025-12-11,Gold Bangle,Bracelets,Airport,5,720,3600
2025-12-21,Tennis Bracelet,Bracelets,Mall Plaza,12,1900,22800
2025-12-21,Tennis Bracelet,Bracelets,Airport,9,1900,17100
2025-12-14,Charm Bracelet,Bracelets,Mall Plaza,7,260,1820
2025-12-01,Charm Bracelet,Bracelets,Airport,4,260,1040
2025-12-10,Luxury Gold Watch,Watches,Downtown,9,3200,28800
2025-12-24,Luxury Gold Watch,Watches,Airport,8,3200,25600
2025-12-10,Silver Watch,Watches,Downtown,10,540,5400
2025-12-12,Silver Watch,Watches,Mall Plaza,6,540,3240
2025-12-06,Silver Watch,Watches,Airport,7,540,3780
2025-12-26,Bridal Jewelry Set,Sets,Downtown,7,4500,31500
2025-12-09,Bridal Jewelry Set,Sets,Mall Plaza,6,4500,27000
2025-12-21,Bridal Jewelry Set,Sets,Airport,5,4500,22500
2025-12-17,Gold Anklet,Anklets,Downtown,2,310,620
2025-12-04,Gold Anklet,Anklets,Mall Plaza,2,310,620
2025-12-24,Gold Anklet,Anklets,Airport,4,310,1240
2026-01-16,Gold Ring 22K,Rings,Downtown,9,850,7650
2026-01-27,Gold Ring 22K,Rings,Mall Plaza,2,850,1700
2026-01-06,Diamond Solitaire Ring,Rings,Downtown,3,2400,7200
2026-01-01,Diamond Solitaire Ring,Rings,Mall Plaza,7,2400,16800
2026-01-19,Diamond Solitaire Ring,Rings,Airport,4,2400,9600
2026-01-22,Silver Band Ring,Rings,Downtown,2,120,240
2026-01-21,Silver Band Ring,Rings,Mall Plaza,8,120,960
2026-01-06,Silver Band Ring,Rings,Airport,6,120,720
2026-01-21,Gold Chain Necklace,Necklaces,Downtown,5,1100,5500
2026-01-08,Gold Chain Necklace,Necklaces,Airport,5,1100,5500
2026-01-23,Pearl Necklace,Necklaces,Downtown,1,450,450
2026-01-13,Pearl Necklace,Necklaces,Mall Plaza,9,450,4050
2026-01-18,Pearl Necklace,Necklaces,Airport,9,450,4050
2026-01-12,Diamond Pendant,Necklaces,Downtown,3,1600,4800
2026-01-07,Diamond Pendant,Necklaces,Mall Plaza,8,1600,12800
2026-01-23,Diamond Pendant,Necklaces,Airport,10,1600,16000
2026-01-23,Gold Hoop Earrings,Earrings,Downtown,7,380,2660
2026-01-07,Gold Hoop Earrings,Earrings,Airport,3,380,1140
2026-01-04,Diamond Stud Earrings,Earrings,Downtown,5,950,4750
2026-01-03,Diamond Stud Earrings,Earrings,Mall Plaza,5,950,4750
2026-01-08,Diamond Stud Earrings,Earrings,Airport,7,950,6650
2026-01-07,Silver Drop Earrings,Earrings,Downtown,8,95,760
2026-01-06,Silver Drop Earrings,Earrings,Mall Plaza,6,95,570
2026-01-10,Gold Bangle,Bracelets,Downtown,6,720,4320
2026-01-27,Gold Bangle,Bracelets,Mall Plaza,1,720,720
2026-01-27,Gold Bangle,Bracelets,Airport,5,720,3600
2026-01-02,Tennis Bracelet,Bracelets,Mall Plaza,10,1900,19000
2026-01-20,Tennis Bracelet,Bracelets,Airport,8,1900,15200
2026-01-23,Charm Bracelet,Bracelets,Downtown,2,260,520
2026-01-10,Charm Bracelet,Bracelets,Airport,4,260,1040
2026-01-04,Luxury Gold Watch,Watches,Downtown,1,3200,3200
2026-01-09,Luxury Gold Watch,Watches,Mall Plaza,6,3200,19200
2026-01-15,Luxury Gold Watch,Watches,Airport,9,3200,28800
2026-01-14,Silver Watch,Watches,Downtown,8,540,4320
2026-01-13,Silver Watch,Watches,Mall Plaza,7,540,3780
2026-01-19,Silver Watch,Watches,Airport,7,540,3780
2026-01-08,Bridal Jewelry Set,Sets,Mall Plaza,9,4500,40500
2026-01-13,Bridal Jewelry Set,Sets,Airport,5,4500,22500
2026-01-09,Gold Anklet,Anklets,Airport,3,310,930
2026-02-02,Gold Ring 22K,Rings,Downtown,15,850,12750
2026-02-10,Gold Ring 22K,Rings,Mall Plaza,9,850,7650
2026-02-20,Gold Ring 22K,Rings,Airport,9,850,7650
2026-02-11,Diamond Solitaire Ring,Rings,Downtown,11,2400,26400
2026-02-15,Diamond Solitaire Ring,Rings,Mall Plaza,16,2400,38400
2026-02-25,Diamond Solitaire Ring,Rings,Airport,14,2400,33600
2026-02-04,Silver Band Ring,Rings,Downtown,7,120,840
2026-02-17,Silver Band Ring,Rings,Airport,4,120,480
2026-02-09,Gold Chain Necklace,Necklaces,Downtown,13,1100,14300
2026-02-17,Gold Chain Necklace,Necklaces,Mall Plaza,16,1100,17600
2026-02-03,Gold Chain Necklace,Necklaces,Airport,8,1100,8800
2026-02-15,Pearl Necklace,Necklaces,Downtown,4,450,1800
2026-02-13,Diamond Pendant,Necklaces,Downtown,3,1600,4800
2026-02-02,Diamond Pendant,Necklaces,Mall Plaza,6,1600,9600
2026-02-01,Gold Hoop Earrings,Earrings,Downtown,11,380,4180
2026-02-11,Gold Hoop Earrings,Earrings,Mall Plaza,13,380,4940
2026-02-12,Gold Hoop Earrings,Earrings,Airport,13,380,4940
2026-02-19,Diamond Stud Earrings,Earrings,Downtown,5,950,4750
2026-02-05,Diamond Stud Earrings,Earrings,Airport,7,950,6650
2026-02-19,Silver Drop Earrings,Earrings,Downtown,5,95,475
2026-02-09,Silver Drop Earrings,Earrings,Mall Plaza,15,95,1425
2026-02-05,Gold Bangle,Bracelets,Downtown,15,720,10800
2026-02-20,Gold Bangle,Bracelets,Mall Plaza,6,720,4320
2026-02-15,Gold Bangle,Bracelets,Airport,17,720,12240
2026-02-25,Tennis Bracelet,Bracelets,Downtown,13,1900,24700
2026-02-25,Tennis Bracelet,Bracelets,Mall Plaza,11,1900,20900
2026-02-08,Tennis Bracelet,Bracelets,Airport,9,1900,17100
2026-02-13,Charm Bracelet,Bracelets,Mall Plaza,2,260,520
2026-02-18,Charm Bracelet,Bracelets,Airport,6,260,1560
2026-02-20,Luxury Gold Watch,Watches,Downtown,7,3200,22400
2026-02-20,Luxury Gold Watch,Watches,Mall Plaza,15,3200,48000
2026-02-21,Silver Watch,Watches,Downtown,11,540,5940
2026-02-07,Bridal Jewelry Set,Sets,Airport,14,4500,63000
2026-02-06,Gold Anklet,Anklets,Mall Plaza,2,310,620
2026-02-17,Gold Anklet,Anklets,Airport,11,310,3410
2026-03-26,Gold Ring 22K,Rings,Downtown,2,850,1700
2026-03-10,Gold Ring 22K,Rings,Mall Plaza,12,850,10200
2026-03-11,Gold Ring 22K,Rings,Airport,11,850,9350
2026-03-11,Diamond Solitaire Ring,Rings,Downtown,4,2400,9600
2026-03-09,Diamond Solitaire Ring,Rings,Mall Plaza,4,2400,9600
2026-03-15,Diamond Solitaire Ring,Rings,Airport,5,2400,12000
2026-03-11,Silver Band Ring,Rings,Downtown,7,120,840
2026-03-04,Silver Band Ring,Rings,Mall Plaza,9,120,1080
2026-03-02,Gold Chain Necklace,Necklaces,Airport,4,1100,4400
2026-03-07,Pearl Necklace,Necklaces,Downtown,13,450,5850
2026-03-21,Pearl Necklace,Necklaces,Mall Plaza,6,450,2700
2026-03-21,Pearl Necklace,Necklaces,Airport,10,450,4500
2026-03-25,Diamond Pendant,Necklaces,Downtown,13,1600,20800
2026-03-05,Diamond Pendant,Necklaces,Mall Plaza,4,1600,6400
2026-03-05,Diamond Pendant,Necklaces,Airport,10,1600,16000
2026-03-05,Gold Hoop Earrings,Earrings,Downtown,14,380,5320
2026-03-12,Gold Hoop Earrings,Earrings,Airport,8,380,3040
2026-03-17,Diamond Stud Earrings,Earrings,Mall Plaza,4,950,3800
2026-03-10,Diamond Stud Earrings,Earrings,Airport,9,950,8550
2026-03-05,Silver Drop Earrings,Earrings,Downtown,8,95,760
2026-03-05,Silver Drop Earrings,Earrings,Mall Plaza,5,95,475
2026-03-05,Silver Drop Earrings,Earrings,Airport,8,95,760
2026-03-02,Gold Bangle,Bracelets,Downtown,9,720,6480
2026-03-12,Gold Bangle,Bracelets,Mall Plaza,14,720,10080
2026-03-13,Tennis Bracelet,Bracelets,Mall Plaza,13,1900,24700
2026-03-05,Charm Bracelet,Bracelets,Downtown,12,260,3120
2026-03-26,Charm Bracelet,Bracelets,Mall Plaza,13,260,3380
2026-03-02,Charm Bracelet,Bracelets,Airport,5,260,1300
2026-03-19,Luxury Gold Watch,Watches,Downtown,7,3200,22400
2026-03-27,Silver Watch,Watches,Downtown,9,540,4860
2026-03-02,Silver Watch,Watches,Mall Plaza,2,540,1080
2026-03-03,Bridal Jewelry Set,Sets,Downtown,8,4500,36000
2026-03-21,Bridal Jewelry Set,Sets,Mall Plaza,4,4500,18000
2026-03-07,Bridal Jewelry Set,Sets,Airport,6,4500,27000
2026-03-20,Gold Anklet,Anklets,Downtown,11,310,3410
2026-03-16,Gold Anklet,Anklets,Airport,4,310,1240
2026-04-23,Gold Ring 22K,Rings,Airport,3,850,2550
2026-04-19,Diamond Solitaire Ring,Rings,Downtown,6,2400,14400
2026-04-14,Diamond Solitaire Ring,Rings,Mall Plaza,14,2400,33600
2026-04-24,Silver Band Ring,Rings,Downtown,7,120,840
2026-04-18,Silver Band Ring,Rings,Airport,12,120,1440
2026-04-07,Gold Chain Necklace,Necklaces,Downtown,6,1100,6600
2026-04-20,Gold Chain Necklace,Necklaces,Mall Plaza,9,1100,9900
2026-04-04,Gold Chain Necklace,Necklaces,Airport,14,1100,15400
2026-04-03,Pearl Necklace,Necklaces,Downtown,7,450,3150
2026-04-19,Pearl Necklace,Necklaces,Mall Plaza,12,450,5400
2026-04-20,Diamond Pendant,Necklaces,Downtown,7,1600,11200
2026-04-12,Diamond Pendant,Necklaces,Airport,3,1600,4800
2026-04-07,Gold Hoop Earrings,Earrings,Downtown,11,380,4180
2026-04-01,Gold Hoop Earrings,Earrings,Mall Plaza,12,380,4560
2026-04-01,Gold Hoop Earrings,Earrings,Airport,9,380,3420
2026-04-03,Diamond Stud Earrings,Earrings,Airport,9,950,8550
2026-04-03,Silver Drop Earrings,Earrings,Downtown,14,95,1330
2026-04-06,Silver Drop Earrings,Earrings,Mall Plaza,11,95,1045
2026-04-03,Silver Drop Earrings,Earrings,Airport,11,95,1045
2026-04-03,Gold Bangle,Bracelets,Downtown,8,720,5760
2026-04-01,Gold Bangle,Bracelets,Mall Plaza,14,720,10080
2026-04-10,Tennis Bracelet,Bracelets,Mall Plaza,8,1900,15200
2026-04-18,Charm Bracelet,Bracelets,Downtown,7,260,1820
2026-04-24,Luxury Gold Watch,Watches,Downtown,2,3200,6400
2026-04-10,Luxury Gold Watch,Watches,Mall Plaza,13,3200,41600
2026-04-04,Silver Watch,Watches,Downtown,14,540,7560
2026-04-27,Silver Watch,Watches,Mall Plaza,12,540,6480
2026-04-13,Silver Watch,Watches,Airport,4,540,2160
2026-04-14,Bridal Jewelry Set,Sets,Downtown,5,4500,22500
2026-04-13,Bridal Jewelry Set,Sets,Mall Plaza,2,4500,9000
2026-04-01,Bridal Jewelry Set,Sets,Airport,13,4500,58500
2026-04-22,Gold Anklet,Anklets,Downtown,13,310,4030
2026-04-09,Gold Anklet,Anklets,Airport,7,310,2170
2026-05-14,Gold Ring 22K,Rings,Downtown,8,850,6800
2026-05-13,Gold Ring 22K,Rings,Airport,8,850,6800
2026-05-14,Diamond Solitaire Ring,Rings,Downtown,13,2400,31200
2026-05-16,Diamond Solitaire Ring,Rings,Mall Plaza,12,2400,28800
2026-05-27,Diamond Solitaire Ring,Rings,Airport,2,2400,4800
2026-05-07,Silver Band Ring,Rings,Downtown,3,120,360
2026-05-15,Silver Band Ring,Rings,Airport,11,120,1320
2026-05-27,Gold Chain Necklace,Necklaces,Mall Plaza,6,1100,6600
2026-05-04,Pearl Necklace,Necklaces,Downtown,8,450,3600
2026-05-10,Pearl Necklace,Necklaces,Mall Plaza,9,450,4050
2026-05-02,Pearl Necklace,Necklaces,Airport,13,450,5850
2026-05-14,Diamond Pendant,Necklaces,Downtown,5,1600,8000
2026-05-02,Diamond Pendant,Necklaces,Mall Plaza,13,1600,20800
2026-05-10,Diamond Pendant,Necklaces,Airport,13,1600,20800
2026-05-11,Gold Hoop Earrings,Earrings,Downtown,9,380,3420
2026-05-22,Gold Hoop Earrings,Earrings,Mall Plaza,7,380,2660
2026-05-04,Gold Hoop Earrings,Earrings,Airport,7,380,2660
2026-05-14,Diamond Stud Earrings,Earrings,Downtown,10,950,9500
2026-05-02,Diamond Stud Earrings,Earrings,Mall Plaza,9,950,8550
2026-05-25,Diamond Stud Earrings,Earrings,Airport,14,950,13300
2026-05-20,Silver Drop Earrings,Earrings,Downtown,4,95,380
2026-05-06,Gold Bangle,Bracelets,Downtown,14,720,10080
2026-05-08,Gold Bangle,Bracelets,Mall Plaza,3,720,2160
2026-05-20,Gold Bangle,Bracelets,Airport,14,720,10080
2026-05-26,Tennis Bracelet,Bracelets,Downtown,13,1900,24700
2026-05-22,Tennis Bracelet,Bracelets,Airport,5,1900,9500
2026-05-04,Charm Bracelet,Bracelets,Downtown,7,260,1820
2026-05-20,Charm Bracelet,Bracelets,Mall Plaza,7,260,1820
2026-05-24,Charm Bracelet,Bracelets,Airport,13,260,3380
2026-05-22,Luxury Gold Watch,Watches,Downtown,3,3200,9600
2026-05-27,Luxury Gold Watch,Watches,Airport,11,3200,35200
2026-05-19,Silver Watch,Watches,Downtown,3,540,1620
2026-05-21,Silver Watch,Watches,Mall Plaza,14,540,7560
2026-05-16,Silver Watch,Watches,Airport,2,540,1080
2026-05-27,Bridal Jewelry Set,Sets,Downtown,13,4500,58500
2026-05-23,Bridal Jewelry Set,Sets,Mall Plaza,9,4500,40500
2026-05-06,Bridal Jewelry Set,Sets,Airport,5,4500,22500
2026-05-09,Gold Anklet,Anklets,Downtown,4,310,1240
2026-05-08,Gold Anklet,Anklets,Mall Plaza,12,310,3720
2026-05-03,Gold Anklet,Anklets,Airport,9,310,2790
2026-06-01,Gold Ring 22K,Rings,Downtown,11,850,9350
2026-06-02,Gold Ring 22K,Rings,Airport,12,850,10200
2026-06-15,Diamond Solitaire Ring,Rings,Downtown,2,2400,4800
2026-06-26,Diamond Solitaire Ring,Rings,Airport,3,2400,7200
2026-06-18,Silver Band Ring,Rings,Mall Plaza,4,120,480
2026-06-04,Silver Band Ring,Rings,Airport,10,120,1200
2026-06-16,Gold Chain Necklace,Necklaces,Downtown,7,1100,7700
2026-06-11,Gold Chain Necklace,Necklaces,Mall Plaza,3,1100,3300
2026-06-15,Gold Chain Necklace,Necklaces,Airport,8,1100,8800
2026-06-04,Pearl Necklace,Necklaces,Mall Plaza,4,450,1800
2026-06-12,Pearl Necklace,Necklaces,Airport,4,450,1800
2026-06-19,Diamond Pendant,Necklaces,Airport,9,1600,14400
2026-06-04,Gold Hoop Earrings,Earrings,Downtown,8,380,3040
2026-06-12,Gold Hoop Earrings,Earrings,Airport,10,380,3800
2026-06-04,Diamond Stud Earrings,Earrings,Downtown,12,950,11400
2026-06-27,Diamond Stud Earrings,Earrings,Airport,2,950,1900
2026-06-04,Silver Drop Earrings,Earrings,Downtown,11,95,1045
2026-06-15,Silver Drop Earrings,Earrings,Mall Plaza,12,95,1140
2026-06-03,Gold Bangle,Bracelets,Mall Plaza,10,720,7200
2026-06-08,Gold Bangle,Bracelets,Airport,8,720,5760
2026-06-22,Tennis Bracelet,Bracelets,Downtown,11,1900,20900
2026-06-17,Tennis Bracelet,Bracelets,Mall Plaza,4,1900,7600
2026-06-26,Tennis Bracelet,Bracelets,Airport,11,1900,20900
2026-06-20,Charm Bracelet,Bracelets,Downtown,2,260,520
2026-06-05,Luxury Gold Watch,Watches,Downtown,6,3200,19200
2026-06-06,Luxury Gold Watch,Watches,Mall Plaza,11,3200,35200
2026-06-22,Luxury Gold Watch,Watches,Airport,10,3200,32000
2026-06-20,Silver Watch,Watches,Downtown,5,540,2700
2026-06-19,Silver Watch,Watches,Mall Plaza,7,540,3780
2026-06-26,Silver Watch,Watches,Airport,10,540,5400
2026-06-09,Bridal Jewelry Set,Sets,Downtown,4,4500,18000
2026-06-21,Bridal Jewelry Set,Sets,Airport,2,4500,9000
2026-06-23,Gold Anklet,Anklets,Mall Plaza,12,310,3720
2026-06-07,Gold Anklet,Anklets,Airport,6,310,1860
